timestamp,VCM1-PDI402.PV,VCM1-FIA421.PV,VCM1-TI400-6.PV,EE-VCM1.M-GA402A-P,EE-VCM1.M-GA402B-P,PREDICTED_CR,PREDICTED_CR_DERIVATIVE,PREDICTED_THICKNESS,PREDICTED_CR_MA,PREDICTED_CR_MA_DERIVATIVE,PREDICTED_THICKNESS_MA
2026-02-19 09:00:00,2.4778891798556892,328.88214848940646,126.81971357909303,66.30400085449219,0.0,-1.378256066520757e-05,3.238112374985621e-06,15.005459143993823,-1.639334894673595e-05,-1.4792443342630707e-05,15.013642067074729
2026-02-19 09:10:00,2.4744481441436617,327.8932036511678,126.75616841073108,66.30400085449219,0.0,-1.8397597725152655e-05,-4.615037059945084e-06,15.005440746396099,-1.6392356441069695e-05,-1.599913098438988e-06,15.013625674718288
2026-02-19 09:20:00,2.4737199184092185,328.56263905294054,126.81168847306662,66.30400085449219,0.0,-2.128611173199657e-05,-2.888514006843914e-06,15.005419460284367,-1.6392465871101826e-05,-1.4792552772662838e-05,15.013609282252416
2026-02-19 09:30:00,2.488756996946813,328.71184793681215,127.13576940000445,66.0479965209961,0.0,-1.826334917368553e-05,3.0227625583110373e-06,15.005401196935193,-1.6393560927042245e-05,-1.6010081543794074e-06,15.01359288869149
2026-02-19 09:40:00,2.471738465041532,328.2226481972609,127.62285973147651,65.53621295464524,0.0,-1.853770144632488e-05,-2.743522726393472e-07,15.005382659233746,-1.6394223345459805e-05,-1.4793215191080398e-05,15.013576494468143
2026-02-19 09:50:00,2.4795976747286583,328.9964413840523,127.60575815190401,65.80046205820553,0.0,-1.3135715387870835e-05,5.401986058454044e-06,15.005369523518358,-1.6392540900748316e-05,-1.5993257096679186e-06,15.013560101927242
2026-02-19 10:00:00,2.482615829202222,329.2319717427677,127.61434933566878,65.92000178833067,0.0,-1.445721752784814e-05,-1.3215021399773051e-06,15.00535506630083,-1.6390803162801613e-05,-1.4791477453133695e-05,15.013543711124079
2026-02-19 10:10:00,2.471159040741168,327.59590155700374,127.85153191972834,65.53600311279295,0.0,-1.958780110079351e-05,-5.130583572945371e-06,15.00533547849973,-1.6391155945493477e-05,-1.599678492359782e-06,15.013527319968134
2026-02-19 10:20:00,2.4859353314395776,329.073486439356,128.04719920075925,66.04800046590192,0.0,-1.66071875533947e-05,2.980613547398812e-06,15.005318871312175,-1.638897757191158e-05,-1.4789299079551798e-05,15.013510930990561
2026-02-19 10:30:00,2.4725076547027056,327.36028541360514,127.7481951011621,65.536003112793,0.0,-1.8497209503683962e-05,-1.8900219502892634e-06,15.00530037410267,-1.638691950412568e-05,-1.5976204245738836e-06,15.013494544071056
2026-02-19 10:40:00,2.470443635254863,327.9461553473879,127.54416227740779,65.53600311279297,0.0,-1.8757524538072364e-05,-2.6031503438840185e-07,15.005281616578133,-1.6385624854587312e-05,-1.4788004430013429e-05,15.013478158446201
2026-02-19 10:50:00,2.469676195928222,328.04701732601853,128.286945078761,65.40376969929058,0.0,-2.2323570745114676e-05,-3.5660462070423117e-06,15.005259293007388,-1.6384464199325044e-05,-1.596459769311615e-06,15.013461773982002
2026-02-19 11:00:00,2.4674124759345193,328.6093982356127,128.40467831655405,65.79203479018915,0.0,-2.4296278056914888e-05,-1.972707311800212e-06,15.005234996729332,-1.638399814517215e-05,-1.4787538375860534e-05,15.013445389983856
2026-02-19 11:10:00,2.475122629986648,328.33846273988405,128.48078535254075,65.53600311279297,0.0,-2.3447275281178086e-05,8.49002775736802e-07,15.005211549454051,-1.6383914141539083e-05,-1.5963757656785485e-06,15.013429006069714
2026-02-19 11:20:00,2.471713782234656,328.85075373651927,128.08139039562082,65.79200007731167,0.0,-1.831102651103801e-05,5.136248770140077e-06,15.005193238427541,-1.638206145045619e-05,-1.4785685684777642e-05,15.013412624008264
2026-02-19 11:30:00,2.515229761107639,332.1343611189125,127.92284963374162,68.0960006713867,0.0,-1.2783106316947816e-05,5.527920194090193e-06,15.005180455321224,-1.6378814950529604e-05,-1.5931292657519618e-06,15.013396245193315
2026-02-19 11:40:00,2.477532208880287,328.8690948993977,127.9041690918258,65.79199981689453,0.0,-1.7407363746725843e-05,-4.624257429778027e-06,15.005163047957478,-1.6376615970984973e-05,-1.4783486705233012e-05,15.013379868577344
2026-02-19 11:50:00,2.4791351558847357,329.03410331236665,128.6509781073352,66.04800059610857,0.0,-1.8889509124260747e-05,-1.4821453775349042e-06,15.005144158448353,-1.6375415029947185e-05,-1.591928324714174e-06,15.013363493162315
2026-02-19 12:00:00,2.4768556271423328,329.12286576817297,128.84955149258195,66.81600189208986,0.0,-1.7586358662384244e-05,1.3031504618765032e-06,15.00512657208969,-1.6374064130591753e-05,-1.4782135805877579e-05,15.013347119098183
2026-02-19 12:10:00,2.4680338351044995,328.20163419199525,129.42563168173922,65.77521497733788,0.0,-2.0994936589678442e-05,-3.408577927294198e-06,15.0051055771531,-1.6373756756427644e-05,-1.591620950550065e-06,15.013330745341428
2026-02-19 12:20:00,2.47073975799408,328.5472218136563,128.85159314936024,65.6640015299471,0.0,-2.3638640565870905e-05,-2.6437039761924626e-06,15.005081938512534,-1.637437267929692e-05,-1.4782751728746856e-05,15.013314370968748
2026-02-19 12:30:00,2.460321605000627,328.30051406710027,128.1585006412468,65.53600311279297,0.0,-2.1375084433597203e-05,2.2635561322737013e-06,15.005060563428101,-1.637365462956733e-05,-1.5909029008204753e-06,15.013297997314119
2026-02-19 12:40:00,2.461951613199623,327.77043149014156,127.42314721073393,65.53600311279298,0.0,-1.7711000884907958e-05,3.6640835486892454e-06,15.005042852427216,-1.6372288232708566e-05,-1.4781385331888091e-05,15.013281625025886
2026-02-19 12:50:00,2.4646384019016456,327.8263941677092,127.6098695557003,66.0479965209961,0.0,-1.904733846212717e-05,-1.3363375772192118e-06,15.005023805088754,-1.6370761160555254e-05,-1.5893758286671625e-06,15.013265254264725
2026-02-19 13:00:00,2.4655457887697896,327.93969967566665,127.89999692151324,66.0479965209961,0.0,-2.0324032710305202e-05,-1.2766942481780322e-06,15.005003481056043,-1.6369552506711045e-05,-1.4780176678043883e-05,15.013248884712219
2026-02-19 13:10:00,2.4712050675338104,329.0054179048476,127.81078216521516,66.0479965209961,0.0,-1.4294599090885916e-05,6.029433619419286e-06,15.004989186456953,-1.6367420956101446e-05,-1.5872442780575632e-06,15.013232517291263
2026-02-19 13:20:00,2.4779107410410735,330.3519640520871,128.0400501312707,66.0479965209961,0.0,-1.7664792951572956e-05,-3.37019386068704e-06,15.004971521664002,-1.6366301994374297e-05,-1.4779057716316734e-05,15.013216150989269
2026-02-19 13:30:00,2.464193881890272,328.0392990313742,128.12806702311306,66.0479965209961,0.0,-2.131652983672878e-05,-3.6517368851558227e-06,15.004950205134165,-1.6367614442217064e-05,-1.5885567259003308e-06,15.013199783374827
2026-02-19 13:40:00,2.466781497069375,327.96244051646977,128.0437888846985,66.0479965209961,0.0,-2.1170600084184728e-05,1.4592975254405105e-07,15.004929034534081,-1.6368004613862047e-05,-1.4779447887961716e-05,15.013183415370213
